Gmt time,Open,High,Low,Close,Volume
01.11.2010 00:00:00.000,1.60462,1.60571,1.59898,1.60517,4704.2998
01.11.2010 01:00:00.000,1.60522,1.60626,1.60389,1.60603,3675.1001
01.11.2010 02:00:00.000,1.60600,1.60678,1.60428,1.60475,3468.3999
01.11.2010 03:00:00.000,1.60475,1.60661,1.60453,1.60646,2925.2
01.11.2010 04:00:00.000,1.60646,1.60659,1.60509,1.60584,3097.3999
01.11.2010 05:00:00.000,1.60578,1.60735,1.60543,1.60687,3586.2
01.11.2010 06:00:00.000,1.60685,1.60834,1.60639,1.60645,4045.1001
01.11.2010 07:00:00.000,1.60643,1.60653,1.60211,1.60350,4419.2002
01.11.2010 08:00:00.000,1.60351,1.60422,1.60216,1.60400,4471.8999
01.11.2010 09:00:00.000,1.60390,1.60886,1.60331,1.60646,4596.8999
01.11.2010 10:00:00.000,1.60636,1.60723,1.60545,1.60602,4225
01.11.2010 11:00:00.000,1.60600,1.60816,1.60455,1.60646,4230.1001
01.11.2010 12:00:00.000,1.60645,1.60646,1.60424,1.60563,4635.7998
01.11.2010 13:00:00.000,1.60558,1.60843,1.60553,1.60679,5414.7002
01.11.2010 14:00:00.000,1.60699,1.60699,1.60313,1.60431,5708.2002
01.11.2010 15:00:00.000,1.60433,1.60480,1.60074,1.60480,4849.3999
01.11.2010 16:00:00.000,1.60480,1.60498,1.60275,1.60352,4679.7998
01.11.2010 17:00:00.000,1.60352,1.60460,1.60265,1.60392,3907.3
01.11.2010 18:00:00.000,1.60392,1.60412,1.60288,1.60320,3624.8
01.11.2010 19:00:00.000,1.60320,1.60425,1.60261,1.60378,3460.8999
01.11.2010 20:00:00.000,1.60377,1.60377,1.60259,1.60338,2874.2
01.11.2010 21:00:00.000,1.60344,1.60436,1.60300,1.60406,3290.1001
01.11.2010 22:00:00.000,1.60406,1.60456,1.60351,1.60456,3033.1001
01.11.2010 23:00:00.000,1.60456,1.60578,1.60451,1.60566,3302.8
02.11.2010 00:00:00.000,1.60566,1.60652,1.60419,1.60485,3263
02.11.2010 01:00:00.000,1.60484,1.60507,1.60344,1.60393,3707.8999
02.11.2010 02:00:00.000,1.60393,1.60511,1.60357,1.60472,3023.6001
02.11.2010 03:00:00.000,1.60472,1.60654,1.60422,1.60554,3620.3
02.11.2010 04:00:00.000,1.60559,1.60618,1.60461,1.60529,3642.6001
02.11.2010 05:00:00.000,1.60529,1.60628,1.60497,1.60527,3471.1001
02.11.2010 06:00:00.000,1.60529,1.60666,1.60529,1.60647,3987.3999
02.11.2010 07:00:00.000,1.60647,1.60756,1.60403,1.60531,4194.7998
02.11.2010 08:00:00.000,1.60541,1.60752,1.60425,1.60645,5062.3999
02.11.2010 09:00:00.000,1.60644,1.60792,1.59936,1.59981,5354.8999
02.11.2010 10:00:00.000,1.59973,1.60126,1.59614,1.59845,6053.2998
02.11.2010 11:00:00.000,1.59843,1.60022,1.59722,1.59818,5410.2998
02.11.2010 12:00:00.000,1.59812,1.60370,1.59812,1.60238,5421.8999
02.11.2010 13:00:00.000,1.60238,1.60404,1.60111,1.60194,5319.8999
